article,name,new_bpl_rub_vat,change_percent
16733,"Смазка для направляющих суппорта RW-56 Reinwell, 30 мл",438,11%
19422,"ReinWell Промывка масляной системы 5 мин RW-85, 270 мл",365,5%
19423,"Reinwell Промывка масляной системы долговременная RW-86, 270 мл",275,7%
16742N,"Смазка противоскрипная RUSEFF, 5 мл стик-пакет",91,7%
3216,"Смазка для направляющих суппортов RW-56 Reinwell, 5 г",109,5%
3273,"Промывка Reinwell, 470 мл",499,7%
23634,"ReinWell Фиксатор резьбовых соединений RW-44, 0,01 л",154,8%
3213,"ReinWell Смазка пластичная Литол RW-24, 17,5 кг",6646,11%
3210,"ReinWell Смазка пластичная Литол RW-24, 0,4 кг",254,11%
3221,"ReinWell Многоцелевая литиевая смазка RW-26, 0,4 кг",362,5%
3222,"ReinWell Высокотемпературная литиевая комплексная смазка RW-27, 0,4 кг",462,5%
4909 / 14226,"ReinWell HYDROL HVLP 46, 20 л",7505,16%
4910 / 14228,"ReinWell HYDROL HVLP 46, 200 л",72848,23%
4907 / 14216,"ReinWell HYDROL HVLP 32, 20 л",8678,33%
4901 / 14116,"ReinWell HYDROL HLP 32, 20 л",6683,26%
4903 / 14126,"ReinWell HYDROL HLP 46, 20 л",6698,27%
4908 / 14218,"ReinWell HYDROL HVLP 32, 200 л",87302,38%
4902 / 14118,"ReinWell HYDROL HLP 32, 200 л",64698,34%
4904 / 14128,"ReinWell HYDROL HLP 46, 200 л",64837,35%
